,Word,Meaning,ShortDefinition,LongDefinition,Synonyms,Antonyms
0,distend,(v) cause to expand as if by internal pressure (v) swell from or as if from internal pressure (v) become wider,"A soda and pizza binge might make your stomach distend, meaning your stomach will swell as a result of pressure from the inside.","If you’ve ever eaten too much food it won’t surprise you to learn that the verb distend traces back to the Latin words dis-, meaning “apart,” and tendere, meaning “to stretch.” Your stomach will certainly feel stretched out if you do something — like overeat — that causes it to distend. The word distend often applies to stomachs — a pregnancy would also cause a stomach to distend — but it can also refer to anything that is stretched out as a result of internal pressure.",dilate,
0,gouge,(n) an impression in a surface (as made by a blow) (n) and edge tool with a blade like a trough for cutting channels or grooves (n) the act of gouging (v) force with the thumb (v) make a groove in (v) swindle; obtain by coercion or intimidation,"To gouge can mean to make a hole or dent in something, or to swindle or steal by overcharging. If your local gas station raises prices because a storm is coming, you may say that the station owner is gouging you — and that's illegal.","The verb gouge means to cut or carve. You can use special chisels to gouge linoleum for interesting design in printing. As a noun, a gouge is the tool you would use — instead of a flat-head chisel, a gouge has a trough — to make the gouge marks of the design. Another meaning of the verb gouge is an indentation in the surface of something. If you're not careful with the screwdriver, you'll accidentally gouge a hole in the wall.",dent ding nick force out rout extort rack squeeze wring,
0,levee,(n) an embankment that is built in order to prevent a river from overflowing (n) a pier that provides a landing place on a river (n) a formal reception of visitors or guests (as at a royal court),"A levee is an embankment, like a dam, constructed to prevent the overflow of a body of water. It can also mean a formal reception. How do these two words relate? Read on...","In French, lever means to lift and se lever means to rise, literally ""lift yourself."" When the king rose from his bed and received visitors, that was a levee. When you raise up dirt or other materials to build a dam or levee, that's also a levee. Now, official levees don't involve kings––but you might hear of “a governor’s levee at the state capital.” And levee can be used as a verb, meaning to make an embankment, or shore up.",,
0,abstemious,(adj) marked by temperance in indulgence (adj) sparing in consumption of especially food and drink,"Reserve abstemious for someone who exercises restraint, especially with regard to alcohol. A rock musician may sing about enjoying wine and women, but in his private life he may be abstemious.","You might get the idea that abstemious is a relative of abstain with a change of consonant, but in fact the two words only share the abs- prefix, meaning ""away."" The -temious bit in this adjective is from Latin temetum, ""intoxicating drink,"" so it came to refer to someone who keeps alcohol (or other temptations) at arm's length. This word has the vowels a, e, i, o and u in alphabetical order; the adverb abstemiously adds the y!",light abstentious abstinent ascetic ascetical austere spartan nonindulgent strict,gluttonous crapulous crapulent crapulous edacious esurient rapacious ravening ravenous voracious wolfish greedy hoggish piggish piggy porcine swinish overgreedy too-greedy indulgent
0,commensurate,(adj) corresponding in size or degree or extent,"The word commensurate has to do with things that are similar in size and therefore appropriate. Many people think the death penalty is a commensurate punishment for murder. In other words, the penalty fits the crime.","When things are commensurate, they're fair, appropriate, and the right size. If you got a ticket for jaywalking, you shouldn't get ten years in prison â€” that penalty is not commensurate with the crime. The word commensurate is usually followed by with or to; one thing is commensurate with or to another.",coextensive conterminous coterminous commensurable proportionate equal,incommensurate disproportionate incommensurable unequal
0,distill,"(v) undergo condensation; change from a gaseous to a liquid state and fall in drops (v) remove impurities from, increase the concentration of, and separate through the process of distillation (v) undergo the process of distillation (v) extract by the process of distillation (v) give off (a liquid)","When you distill something, you are boiling it down to its essence — its most important part. Whether it's alcohol or ideas, the distilled part is the most powerful.","The original meaning of distill comes from the process of making alcohol, known as distilling, in which all the impurities of a substance are vaporized and its pure, high-alcohol condensation collected. Distill eventually came to mean any process in which the essence of something is revealed. If you take notes at a lecture and then turn them into an essay for your professor, you're distilling your notes into something more pure and exact. At least, that's what you hope you're doing.",condense distil make pure purify sublimate distil distil extract distil,
0,grandiloquent,(adj) lofty in style (adj) puffed up with vanity,"Grandiloquent is a fancy term for, well, being fancy or pretentious. In fact, you might say grandiloquent is itself a pretty grandiloquent word.","The word grandiloquent generally refers to the way a person behaves or speaks. Politicians and schoolteachers are the usual suspects of this manner of behavior, known as grandiloquence, but it can refer to anything that's overbearing or pompous in style or manner. Architecture, especially, is highly guilty of being grandiloquent â€” if you check out just about anything built in the Baroque style, you could describe it as grandiloquent.",magniloquent tall overblown pompous pontifical portentous,
0,levity,(n) a manner lacking seriousness (n) feeling an inappropriate lack of seriousness,"Joking that your dead grandmother ""never looked better"" could inject some levity, or frivolity, into her funeral, but your relatives might find your joke inappropriate to the occasion.","Levity literally means ""lightness,"" and it's often an attempt to inject some lightness or humor into an otherwise somber situation. Telling your Aunt Edna a joke while she recuperates from a skiing accident could provide the levity needed to brighten her mood. Yet levity is often used to describe humor that's not appropriate to the occasion, like telling your Aunt the joke, ""Two corpses walk into a bar..."" after her husband has just died.",,gravity solemnity
0,admonish,(v) take to task (v) admonish or counsel in terms of someone's behavior (v) warn strongly; put on guard,"To admonish is to scold. If you want to show someone you're not happy with his behavior, admonish him.","Coming to English through Old French from the Latin admonere ""to advise, remind,"" admonish is always used with an eye on improving someone's behavior. The exact meaning of this formal verb varies in intensity depending generally on who is being corrected. If a child or subordinate is being admonished, it means ""scold"" or ""rebuke"" whereas if someone admonishes a person with equal standing, warn or advise are closer synonyms.",reprove discourage monish warn caution monish,
0,compendium,(n) a publication containing a variety of works (n) a concise but comprehensive summary of a larger work,"When you search an online encyclopedia, you are searching a compendium of information on just about everything. A compendium is a comprehensive collection of something.","You can also use the word compendium to describe a collection of written works. If you gather all of the anecdotes your parents and grandparents have told you into a book, you'll have created a compendium of family stories. The plural of compendium is either compendiums or compendia.",collection,
0,diverge,(v) move or draw apart (v) extend in a different direction (v) be at variance with; be out of line with (v) have no limits as a mathematical series,"When two roads diverge, they split and go in different directions. If your opinion diverges from mine, we do not agree. To diverge means to move apart or be separate.","The poet, Robert Frost, wrote: ""Two roads diverged in a wood, and I -/ I took the one less traveled by / And that has made all the difference."" The word diverge in the poem carries both the meaning of separating and of being apart from the main. As a poet, it was Frost's job to use words properly. Here he does not diverge from this role.",depart deviate vary,converge converge meet adjoin contact meet touch conform converge meet converge adjoin contact meet touch
0,gregarious,(adj) instinctively or temperamentally seeking and enjoying the company of others (adj) (of animals) tending to form a group with others of the same species (adj) (of plants) growing in groups that are close together,"If you know someone who's outgoing, sociable, and fond of the company of others, you might want to call her gregarious.","The word was originally used to describe animals that live in flocks — it's from the Latin word grex, meaning ""herd."" Not surprisingly, people began using it to describe humans who liked being in groups. Today biologists still speak of gregarious species, but you're more likely to hear it in reference to people. Despite what you might suspect, it has no historical connection to the name Gregory — but if you know an outgoing fellow with that name, you could call him Greg-arious.",social social social clustered,ungregarious unsocial nongregarious nonsocial solitary ungregarious caespitose cespitose tufted
0,log,"(n) a segment of the trunk of a tree when stripped of branches (v) cut lumber, as in woods and forests (n) measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water (n) a written record of messages sent or received (n) a written record of events on a voyage (of a ship or plane) (n) the exponent required to produce a given number (v) enter into a log, as on ships and planes","A log is the trunk of a tree minus the branches: logging is cutting down trees. A log is also a written record of something, and logging is keeping such a record.","The first type of log is a tree that's been cut down with the branches stripped. Think of a log cabin: it's made up of logs. Logging is when trees are cut down for lumber. The other type of log is some type of written record or list of messages. A ship captain keeps a log of notes on the ship's status and progress. When you make such a record, you're logging. Logging can be written or orally recorded.",lumber logarithm,
0,adulterate,"(v) corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones (adj) mixed with impurities","If you adulterate something, you mess it up. You may not want to adulterate the beauty of freshly fallen snow by shoveling it, but how else are you going to get to work?","The verb adulterate comes from the Latin word adulterare, which means “to falsify,” or “to corrupt.” Whenever something original, pure, fresh, or wholesome is marred, polluted, defaced, or otherwise made inferior, it has been adulterated. Your grandfather may, for instance, believe that bartenders adulterate the name “Martini” by applying it to combinations of vodka, chocolate or anything other than a mixture of five parts gin to one part dry vermouth, on the rocks, with a twist.",debase dilute load stretch adulterated debased,
0,complaisant,(adj) showing a cheerful willingness to do favors for others,"If only the world were populated entirely with complaisant people! Complaisant means willing to do something to please others, and complaisant people or animals are wonderful to be around.","Don't confuse complaisant with its near-homonym complacent. Both derive from the Latin complacere ""to please,"" but while complaisant means willing to do something to please another, complacent means smug and self-satisfied, something that you want to avoid when you're on the winning team.",obliging,
0,divest,(v) take away possessions from someone (v) reduce or dispose of; cease to hold (an investment) (v) deprive of status or authority (v) remove (someone's or one's own) clothes,"It could be your wine portfolio, your stake in a mining company, or even the extra coats that are taking up space in your closet. Whatever it is, when you divest something, you get rid of it.","Divest is sort of a fancy way to say “dispose of.” It’s often used in a business context to describe companies or governments that divest some of their holdings by selling them off. It can also be used in the sense of taking something away from someone. For example if your boss becomes insane and power mad, his handlers may divest him of his title, meaning his position is taken away from him.",deprive strip disinvest disinvest disinvest strip undress,commit invest place put enthrone invest vest
0,guileless,(adj) free of deceit,"If you are guileless, you are not a liar; you are innocent, and you might be a touch on the gullible side.","To be guileless is to be without guile. Guile is ""deceit, duplicity and trickery."" The young and uninitiated are the ones we call guileless, and they are the ones who often get stung by the more heartless among us. You might recall being a guileless freshman trying out for the school play, and being told by a veteran performer that it would be best to come to the audition for Our Town in a chicken costume, so you did.",transparent,
0,loquacious,(adj) full of trivial conversation,"A loquacious person talks a lot, often about stuff that only they think is interesting. You can also call them chatty or gabby, but either way, they're loquacious.","Whenever you see the Latin loqu-, you can be sure that the word has something to do with ""talking."" So a loquacious person is a person who talks a lot, and often too much. Sitting next to a loquacious person at a dinner party can make dinner a real drag. Of course, if you've got nothing to say, a loquacious person might make a good dinner companion, because they'll do all the talking. All you will have to do is smile and eat.",chatty gabby garrulous talkative talky,
0,aesthetic,(adj) concerning or characterized by an appreciation of beauty or good taste (adj) aesthetically pleasing (adj) relating to or dealing with the subject of aesthetics (n) (philosophy) a philosophical theory as to what is beautiful,The adjective aesthetic comes in handy when the subject at hand is beauty or the arts. A velvet painting of dogs playing poker might have minimal aesthetic appeal.,"Aesthetic, from a Greek word meaning ""perception,"" comes to us from German philosophers who used it for a theory of the beautiful. From this technical sense, it soon came to refer to good taste and to artistry in general; if something has ""aesthetic value,"" it has value as a work of art (even if nobody will pay much for it). It does not, however, refer to the objects themselves; do not talk about an ""aesthetic painting.""",aesthetical esthetic esthetical artistic esthetic esthetic esthetic,inaesthetic unaesthetic inartistic unartistic
0,compliant,(adj) disposed or willing to comply,"If you are willing to submit to someone's request, then you are compliant. Parents like it when their teenagers are compliant and follow the rules. Teenagers, on the other hand, are probably not as compliant as parents would like to think!","The adjective compliant can also describe something that is agreeable. ""The lawyers made sure that the man's will was fully compliant with state law, so that his children could not contest his desire to leave his entire estate to his dog, Fluffy."" Or: ""That software is not compliant with your operating system; you'll have to buy a different version.""",amenable conformable lamblike nonresistant manageable obedient manipulable tractable willing,defiant noncompliant insubordinate resistant resistive obstreperous recalcitrant difficult unmanageable disobedient insubordinate intractable unwilling
0,document,(n) anything serving as a representation of a person's thinking by means of symbolic marks (n) writing that provides information (especially information of an official nature) (n) a written account of ownership or obligation (n) (computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters (v) record in detail (v) support or supply with references,A document is a piece of paper that contains official information. Don't you wish you had a document saying that the bank owed you $5 million?,"Document comes from the Latin verb meaning ""to teach,"" so a document instructs you with the information it contains. Legal documents such as contracts contain instructions on how the people signing it will act. Passports, driverâ€™s licenses and birth certificates are all official documents. As a verb, document means ""to record in detail,"" or ""offer supporting evidence for."" If you call a company to complain about something, make sure to document your phone calls by noting the date you called, who you spoke to and what was said.",papers written document text file,
0,gullible,(adj) naive and easily deceived or tricked (adj) easily tricked because of being too trusting,"If you are gullible, the joke is on you because you are easily fooled.","It is thought that gullible might be derived from the verb gull, meaning ""to swallow."" This would be a funny coincidence as gullible describes an overly trusting person who tends to swallow the stories he hears whole. The related word, gull, can be used as a noun ""don't be such a gull!"" or as a verb ""you can't gull me into believing that!""",fleeceable green unwary,
0,lucid,(adj) (of language) transparently clear; easily understandable (adj) having a clear mind (adj) capable of thinking and expressing yourself in a clear and consistent manner (adj) transmitting light; able to be seen through with clarity,"Something that's lucid is clear and understandable. Lucid writing is important in journalism, so that readers easily get the point of the article they're reading.","When what you write or say is lucid, it's straightforward and its meaning is crystal clear. You can also use the adjective lucid to describe your mind or thoughts when you're thinking in a rational, sensible way: ""I was worried about my grandmother's confusion yesterday, but she seems really lucid today."" Another meaning is ""translucent,"" or letting light shine through â€” which makes sense since lucid comes from the Latin lucidus, ""light or clear,"" with its root of lux, ""light.""",crystal clear limpid luculent pellucid perspicuous sane coherent logical crystal clear crystalline limpid pellucid transparent,
0,aggregate,"(n) a sum total of many heterogenous things taken together (n) the whole amount (n) material such as sand or gravel used with cement and water to make concrete, mortar, or plaster (adj) formed of separate units gathered into a mass or whole (adj) composed of a dense cluster of separate units such as carpels or florets or drupelets (v) gather in a mass, sum, or whole (v) amount in the aggregate to","To aggregate is to collect many units into one. If you're writing a novel, you might create a character who is an aggregate of five or six real people.","Aggregate comes from the Latin verb aggregare, which means to add to. As a verb it means to collect into a mass or whole. You can also use it as an adjective, as in your aggregate sales for February, March and April. It can also be a noun. The mountain of foam in bubble bath is an aggregate of small bubbles. If you plan to work in economics or business, expect to see the word aggregate quite a lot.",congeries conglomeration sum total totality aggregated aggregative mass multiple combine,
0,conciliatory,(adj) making or willing to make concessions (adj) intended to placate,"If you're in a fight with a friend and you want to end it, you should make a conciliatory gesture, such as inviting her to a party you're having. Conciliatory describes things that make other people less angry.","The context is often a situation in which a dispute is settled by compromise. A synonym is propitiatory, though this adjective usually refers to avoiding the anger of someone who has the power to harm. In the word conciliatory, the â€“ory suffix means ""relating to or doing,"" and the root is from Latin conciliatus, from conciliare ""to bring together, win over,"" from concilium ""council.""",compromising flexible conciliative,inflexible sturdy uncompromising hard-line hardline antagonistic alienating
0,dogmatic,(adj) of or pertaining to or characteristic of a doctrine or code of beliefs accepted as authoritative (adj) relating to or involving dogma (adj) characterized by assertion of unproved or unprovable principles,"To be dogmatic is to follow a set of rules no matter what. The rules might be religious, philosophical, or made-up, but dogmatic people would never waver in their beliefs so don’t even think of trying to change their minds.","Dogmatic goes back to the Greek words dogma, which means basically “what one thinks is true” and dogmatikos, “pertaining to doctrine.” To be dogmatic is to follow a doctrine relating to morals and faith, a set of beliefs that is passed down and never questioned. It also refers to arrogant opinions based on unproven theories or even despite facts. Someone dogmatic might insist that dinosaurs never existed or that women shouldn’t drive. Dogmatic people are usually not very popular.",dogmatical,
0,harangue,(n) a loud bombastic declamation expressed with strong emotion (v) deliver a harangue to; address forcefully,"A harangue is more than a speech, louder than a discussion, and nastier than a lecture. It is a verbal attack that doesn't let up, delivered as a verb or received as a noun. Either way, it's pretty unpleasant.","The word harangue developed its modern spelling around 1530, when the word was recorded as harangue in French. The word, meaning a strong, nasty rant, appears to have evolved from the Old Italian word aringa, probably from the word for a public square or place for public speaking. This in turn appears to have evolved from a Germanic word related to ring, as in ""circular gathering,"" which is clearly similar to the Italian meaning.",rant ranting,
0,luminous,(adj) softly bright or radiant,"Luminous means full of or giving off light. During the winter holidays, with all their emphasis on light, you can see luminous displays of candles everywhere.","This word has several figurative meanings that are related to the basic sense of something shining. For example, luminous prose is clear and easily understood. And a luminous career is bright and inspiring. The Middle English adjective is from Latin luminosus, from lumen ""light.""",aglow lambent lucent,
0,alacrity,(n) liveliness and eagerness,"Someone with alacrity shows cheerful willingness and eager behavior, like a kid whose mother has told him he can buy anything in a candy store.","While the noun alacrity normally refers to someone's peppy behavior, it can also describe a certain mood or tempo of a musical composition, indicating how the music should be played. Alacrity comes from the Latin alacritas, and the Italian musical term allegro is a near relation.",briskness smartness,
0,condone,"(v) excuse, overlook, or make allowances for; be lenient with","If you condone something, you allow it, approve of it, or at least can live with it. Some teachers condone chewing gum, and some don't.","Things that are condoned are allowed, even if everyone isn't exactly thrilled about it. People often say, ""I don't condone what he did, but I understand it."" Condoning is like excusing something. People seem to talk more about things they don't condone than things they do condone. Your mom might say, ""I don't condone you staying up till 10, but I know you need to read."" That's a way of giving approval and not giving approval at the same time.",excuse,
0,dormant,(adj) inactive but capable of becoming active (adj) in a condition of biological rest or suspended animation (adj) (of e.g. volcanos) not erupting and not extinct (adj) (heraldry) lying with head on paws as if sleeping,"That old dog was dormant for so long he was confused for a furry doormat, but a doormat is likely to stay dormant, or inactive, because it is lifeless: that old dog has some life in him yet.","Volcanoes are described as dormant when they stay cool for a long time, without spewing hot lava and ash. They may have the ability to come to life, but they remain dormant, or inactive. Dormant comes from French dormir, ""to sleep,"" and it refers to living things that are on a break rather than things that have died. Being dormant is being temporarily at rest, although sometimes, as with some cancer cells, things become permanently — and thankfully — dormant.",abeyant hibernating torpid inactive sleeping,active eruptive
0,homogeneous,(adj) all of the same or similar kind or nature,"If a group of things are homogeneous, they're all the same or similar, like a room full of identically dressed Elvis impersonators.","The adjective homogeneous comes from the Greek homogenes, meaning “of the same kind.” You can break down the root of the word further into two parts: homos, meaning “same,” and genos, meaning “kind, gender, race, stock.” It sounds very scientific, but if you look around the table at home and everyone is eating a bowl of oatmeal, you could safely describe your family’s breakfast tastes as homogeneous.",homogenous,heterogeneous heterogenous diversified assorted miscellaneous mixed motley sundry disparate inhomogeneous nonuniform different varied
0,magnanimity,(n) liberality in bestowing gifts; extremely liberal and generous of spirit,"Magnanimous behavior is noble, generous, or unselfish, and to exhibit magnanimity is to be this way. He showed great magnanimity in not pressing charges when I drove his car into the pond. ""Accidents happen my friend,"" he said, and patted me on the back.","In Latin, magnus means ""great"": a magnate is a great man; a magnum is a great big bottle of champagne. Magnanimity is the generous greatness of spirit. When you are being the bigger person, you are behaving with magnanimity.  ""The supermodel grabbed the magnum of champagne, lifted it to her mouth and drained the bottle. With great magnanimity, her host smiled and offered her another.""",largess largesse munificence openhandedness,
0,alleviate,"(v) provide physical relief, as from pain (v) make easier","Do all these words make your head ache? If so, take an aspirin to alleviate, or relieve, your pain.","The verb, alleviate, stems from the Latin root, levis ""light"" and is related to modern English words such as elevator and levitate â€” both words implying a lightening of one's load. Alleviate also has this sense of lightening a burden such as physical pain or emotional duress. You can take medicine to alleviate symptoms or do exercise to alleviate stress. Or if you want a bigger challenge: try alleviating traffic congestion or world hunger.",assuage palliate relieve ease facilitate,
0,confound,(v) be confusing or perplexing to; cause to be unable to think clearly (v) mistake one thing for another,"If you have an identical twin, you've probably tried dressing alike so that people confound you with, or mistake you for, one another. You've also probably learned that, unfortunately, this trick doesn’t work on your mom.","The verb confound means both ""to mistake"" and ""to confuse."" If you decide to treat yourself to a delicious dessert, you might find yourself confounded by the overwhelming number of choices. If you end up ordering the chocolate cake but the waiter brings you chocolate mousse, the waiter has somehow confounded those two options. Another meaning you may come across in literature is ""to damn,"" as in ""Confound it! You are the most exasperating person on the planet.""",bedevil befuddle confuse discombobulate fox fuddle throw confuse,
0,dupe,(v) fool or hoax (n) a person who is tricked or swindled,"A dupe is a furry, ceremonial hat occasionally worn during ancient pagan rituals... or not. Dupe actually means “trick or deceive.” We’re sorry we tried to dupe you into believing the wrong definition.","Dupe can also refer to the victim of a trick or hoax, and — used in this sense — it sometimes conveys the idea that the victim is easily fooled. Dupe comes from the French word for a type of bird called the hoopoe, which has an extravagant crest and a reputation for being dim-witted. (And no, that's not another attempt to dupe you; it's the truth!)",befool cod fool gull put on put one across put one over slang take in victim,
